AuthorID,Name,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
295,Ian Edginton,Male,UK,UK,NA,NA,White,NA
297,Jordan Mechner,Male,USA,USA,NA,6/4/64,White,NA
298,A. B. Sina,Female,NA,NA,NA,NA,Unknown,NA
301,Sam Glanzman,Male,USA,USA,7/12/17,12/5/24,White,NA
304,Daniel James Abraham,Male,USA,USA,NA,11/14/69,White,NA
306,Larry Gonick,Male,USA,USA,NA,8/24/46,White,NA
307,David Lapham,Male,USA,USA,NA,1/1/70,White,NA
308,Donald Edwin Westlake (Richard Stark),Male,USA,USA,12/31/08,7/12/33,White,NA
309,Kurt Busiek,Male,USA,USA,NA,9/16/60,White,NA
310,Noelle Stevenson,Female,USA,USA,NA,12/31/91,White,NA
311,Jason Shiga,Male,USA,USA,NA,1/1/76,Asian,NA
315,Emil Ferris,Female,USA,USA,NA,1/1/62,White,NA
