AuthorID,Name,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
208,Gary Dumm,Male,USA,USA,NA,12/7/49,White,NA
209,Phoebe Louise Adams Gloeckner,Female,USA,USA,NA,12/22/60,White,NA
210,David Small,Male,USA,USA,NA,2/12/45,White,NA
211,Darryl Cunningham,Male,UK,UK,NA,1/1/60,White,NA
212,Joseph Remnant,Male,USA,USA,NA,NA,White,NA
213,Malik Sajad,Male,India,India,NA,1/1/87,Asian,NA
214,James Sturm,Male,USA,USA,NA,1/1/65,White,NA
215,Alex Robinson,Male,USA,USA,NA,8/8/69,White,NA
217,Niko Henrichon,Male,Canada,NA,NA,NA,White,NA
219,Andrew Cornel Robinson,Male,USA,USA,NA,1/1/68,White,NA
222,J. M. Ken Niimura,Male,Spain,Spain,NA,10/19/81,Hispanic Origin,NA
223,Scott McCloud,Male,USA,USA,NA,6/10/60,White,NA
224,Rob Davis,Male,UK,UK,NA,NA,White,NA
225,Isabel Greenberg,Female,UK,UK,NA,NA,White,NA
226,Glyn Dillon,Male,UK,UK,NA,1/1/71,White,NA
227,Woodrow Phoenix,Male,UK,UK,NA,NA,Black,NA
230,Nick Drnaso,Male,USA,USA,NA,1/1/89,White,NA
231,Richard McGuire,Male,USA,UK,NA,1/1/57,White,NA
234,Meags Fitzgerald,Female,Canada,Canada,NA,NA,White,NA
235,Joshua W. Cotter,Male,NA,NA,NA,NA,White,NA
236,Liz Suburbia,Female,USA,USA,NA,NA,White,NA
237,Sophie Goldstein,Female,USA,USA,NA,NA,White,NA
238,Anders Nilsen,Male,USA,USA,NA,1/1/73,White,NA
239,Debbie Drechsler,Female,USA,USA,NA,1/1/53,White,NA
241,Vincent Locke,Male,USA,USA,NA,NA,White,NA
242,Boleslav William Felix Robert Bill Sienkiewicz,Male,USA,USA,NA,5/3/58,White,NA
243,Jeffrey Brown,Male,USA,USA,NA,7/1/75,White,NA
244,Jessica Abel,Female,USA,USA,NA,1/1/69,White,NA
246,Miriam Katin,Female,Hungary,Israel,NA,NA,White,NA
253,Glenn Barr,Male,USA,USA,NA,NA,White,NA
255,Kathryn Moira Beaton,Female,Canada,Canada,NA,9/8/83,White,NA
256,Gabrielle Bell,Male,UK,USA,NA,3/24/76,White,NA
257,Vera Brosgol,Female,Russia,USA,NA,8/1/84,White,NA
258,Vanessa Davis,Female,USA,USA,NA,10/14/78,White,NA
260,Camilla D'Errico,Female,Canada,Canada,NA,9/30/80,White,NA
262,Joyce Farmer,Female,USA,USA,NA,1/1/38,White,NA
263,Lucy Knisley,Female,USA,USA,NA,1/11/85,White,NA
264,Aline Kominsky-Crumb,Female,USA,USA,NA,8/1/48,White,NA
265,Sarah Leavitt,Female,NA,Canada,NA,NA,White,NA
267,Brittney Williams,Female,NA,NA,NA,NA,African American,NA
270,Natacha Bustos,Female,Spain,NA,NA,1/1/81,Unknown,NA
272,Jim Calafiore,Male,USA,USA,NA,NA,Unknown,NA
278,Jim Mooney,Male,USA,USA,3/30/08,8/13/19,Native American,NA
279,Lee Elias,Male,UK,USA,4/8/98,5/21/20,White,NA
280,Herb Trimpe,Male,USA,USA,4/13/15,5/26/39,White,NA
281,Judith Vanistendael,Female,Belgium,Belgium,NA,1/1/74,White,NA
284,Una Una,Female,UK,UK,NA,NA,White,NA
287,Harvey M. Tolibao,Male,Philippines,Philippines,NA,NA,Asian,NA
290,Bret Blevins,Male,USA,USA,NA,8/13/60,White,NA
291,Richard Howell,Male,USA,USA,NA,11/16/55,White,NA
292,Steve Leialoha,Male,USA,USA,NA,12/27/52,White,NA
293,Mark Badger,Male,USA,USA,NA,NA,White,NA
296,I.N.J. Culbard,Male,UK,UK,NA,NA,White,NA
299,LeUyen Pham,Female,Vietnam,USA,NA,NA,Asian,NA
300,Alex Puvilland,Male,France,USA,NA,NA,White,NA
301,Sam Glanzman,Male,USA,USA,7/12/17,12/5/24,White,NA
303,Tommy Patterson,Male,USA,USA,NA,NA,White,NA
305,Paul Karasik,Male,USA,USA,NA,1/1/56,White,NA
306,Larry Gonick,Male,USA,USA,NA,8/24/46,White,NA
307,David Lapham,Male,USA,USA,NA,1/1/70,White,NA
310,Noelle Stevenson,Female,USA,USA,NA,12/31/91,White,NA
311,Jason Shiga,Male,USA,USA,NA,1/1/76,Asian,NA
315,Emil Ferris,Female,USA,USA,NA,1/1/62,White,NA
