AuthorID,BookID,RelIllustratorID,Title,Mentions,PrimPub,OriginalLanguage,Name,FirstName,LastName,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName,Year,Decade,Gender,Genre,Genre.Group,Any Female Illustrators (0 = Y),Any Female Illustrators?
22,16,139,Batman: The Dark Knight Returns,3,2/1/1986,English,Frank Miller,Frank,Miller,1,USA,USA,NA,1/27/1957,White,NA,1986,1980-1989,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
185,18,137,Batman: The Long Halloween,3,1/1/1997,English,Tim Sale,Tim,Sale,1,USA,USA,NA,5/1/1956,White,NA,1997,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
13,19,136,Batman: Year One,8,2/1/1987,English,David Mazzucchelli,David,Mazzucchelli,1,USA,USA,NA,9/21/1960,Unknown,NA,1987,1980-1989,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
184,20,135,Beasts of Burden: Animal Rites,0,6/30/2010,English,Jill Thompson,Jill,Thompson,0,USA,USA,NA,11/20/1966,White,NA,2010,2010-2017,Female,Adventure,Graphic Novel,0,At Least 1 Female Illustrator
183,21,134,Beowulf,11,10/1/2007,English,Christopher Edwin Steininger,Christopher Edwin,Steininger,1,Canada,Germany,NA,NA,White,NA,2007,2000-2009,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
73,22,133,"Berlin, Vol. 2: City of Smoke",0,9/1/2008,English,Jason Lutes,Jason,Lutes,1,USA,USA,NA,12/7/1967,White,NA,2008,2000-2009,Male,Historical Non-Fiction,Non-Fiction,1,Only Male Illustrator(s)
73,23,132,"Berlin, Vol.1: City of Stones",2,6/1/2000,English,Jason Lutes,Jason,Lutes,1,USA,USA,NA,12/7/1967,White,NA,2000,2000-2009,Male,Historical Non-Fiction,Non-Fiction,1,Only Male Illustrator(s)
40,24,131,Black Hole,15,10/18/2005,English,Charles Burns,Charles,Burns,1,USA,USA,NA,9/27/1955,White,NA,2005,2000-2009,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
42,26,128,Building Stories,27,10/1/2012,English,Chris Ware,Chris,Ware,1,USA,USA,NA,12/28/1967,White,NA,2012,2010-2017,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
47,27,127,Cages,8,1/1/1998,English,Dave McKean,Dave,McKean,1,UK,UK,NA,12/29/1963,White,NA,1998,1990-1999,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
62,28,126,Cairo,6,11/1/2007,English,M. K. Perker,M. K.,Perker,1,Turkey,USA,NA,11/2/1972,White,NA,2007,2000-2009,Male,Mystery,Graphic Fantasy,1,Only Male Illustrator(s)
121,29,125,Can't We Talk about Something More Pleasant?: A Memoir,0,5/6/2014,English,Roz Chast,Roz,Chast,0,USA,USA,NA,11/26/1954,White,NA,2014,2010-2017,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
97,30,124,Cancer Vixen: A True Story,3,9/26/2006,English,Marisa Acocella Marchetto,Marisa Acocella,Marchetto,0,USA,USA,NA,1/1/1962,White,NA,2006,2000-2009,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
43,31,123,Carnet De Voyage,5,8/3/2004,English,Craig Thompson,Craig,Thompson,1,USA,USA,NA,9/21/1975,White,NA,2004,2000-2009,Male,Travel Writing,Non-Fiction,1,Only Male Illustrator(s)
90,32,122,Castle Waiting Vol. 2: The Definitive Edition,2,5/17/2013,English,Linda Medley,Linda,Medley,0,USA,USA,NA,5/17/1964,White,NA,2013,2010-2017,Female,Fairy Tale,Graphic Fantasy,0,At Least 1 Female Illustrator
13,34,120,City of Glass: The Graphic Novel,7,1/1/1994,English,David Mazzucchelli,David,Mazzucchelli,1,USA,USA,NA,9/21/1960,Unknown,NA,1994,1990-1999,Male,Mystery,Graphic Fantasy,1,Only Male Illustrator(s)
181,36,118,Civil War,37,4/1/2007,English,Steve McNiven,Steve,McNiven,1,Canada,Canada,NA,1/1/1967,White,NA,2007,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
36,37,116,Complete Multiple Warheads TP,0,1/8/2014,English,Brandon Graham,Brandon,Graham,1,USA,USA,NA,1/1/1976,White,NA,2014,2010-2017,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
124,38,115,Corridor: A Graphic Novel,4,1/1/2004,English,Sarnath Banerjee,Sarnath,Banerjee,1,India,India,NA,1/1/1972,Asian,NA,2004,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
13,40,113,Daredevil: Born Again,1,2/1/1986,English,David Mazzucchelli,David,Mazzucchelli,1,USA,USA,NA,9/21/1960,Unknown,NA,1986,1980-1989,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
180,41,112,Daredevil: The Man Without Fear,2,10/1/1993,English,John Romita Jr.,John,Romita Jr.,1,USA,USA,NA,8/17/1956,White,NA,1993,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
89,42,111,Darkroom: A Memoir in Black and White,0,2/16/2012,English,Lila Quintero Weaver,Lila Quintero,Weaver,0,Argentina,USA,NA,1/1/1955,Hispanic Origin,NA,2012,2010-2017,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
63,43,109,Daytripper,2,2/1/2010,English,Gabriel Ba,Gabriel,Ba,1,Brazil,Brazil,NA,6/5/1976,Hispanic Origin,NA,2010,2010-2017,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
46,44,108,DC: The New Frontier,3,12/1/2004,English,Darwyn Cooke,Darwyn,Cooke,1,Canada,Canada,NA,1/1/1962,White,NA,2004,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
178,45,107,Deadpool Kills the Marvel Universe,0,8/1/2011,English,Dalibor Talajic,Dalibor,Talajic,1,Croatia,Croatia,NA,NA,White,NA,2011,2010-2017,Male,Horror,Graphic Fantasy,1,Only Male Illustrator(s)
22,50,105,Elektra Lives Again,1,3/1/1990,English,Frank Miller,Frank,Miller,1,USA,USA,NA,1/27/1957,White,NA,1990,1990-1999,Male,Action/Adventure,Graphic Novel,1,Only Male Illustrator(s)
122,52,102,Exit Wounds,5,5/1/2007,English,Rutu Modan,Rutu,Modan,0,Israel,Israel,NA,1/1/1966,White,NA,2007,2000-2009,Female,Coming of Age,Graphic Novel,0,At Least 1 Female Illustrator
50,53,186,Fables: 1001 Nights of Snowfall,24,10/18/2006,English,Derek Kirk Kim,Derek Kirk,Kim,1,South Korea,USA,NA,1/1/1974,Asian,NA,2006,2000-2009,Male,Fantasy,Graphic Fantasy,0,At Least 1 Female Illustrator
79,54,101,Fax from Sarajevo,3,11/1/1996,English,Joe Kubert,Joe,Kubert,1,Poland,USA,8/12/2012,9/18/2026,White,NA,1996,1990-1999,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
39,55,170,The Finder Library. Volume 1,1,3/1/2011,English,Carla Speed McNeill,Carla Speed,McNeill,0,USA,USA,NA,NA,White,NA,2011,2010-2017,Female,Science Fiction,Graphic Fantasy,0,At Least 1 Female Illustrator
177,57,99,From Hell,85,1/1/1999,English,Eddie Campbell,Eddie,Campbell,1,UK,Australia,NA,8/10/1955,White,NA,1999,1990-1999,Male,Crime,Graphic Novel,1,Only Male Illustrator(s)
30,58,98,Fun Home,68,6/8/2006,English,Alison Bechdel,Alison,Bechdel,0,USA,USA,NA,9/10/1960,White,NA,2006,2000-2009,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
55,59,97,Gaylord Phoenix,1,11/1/2007,English,Edie Fake,Edie,Fake,1,USA,USA,NA,1/1/1980,White,NA,2007,2000-2009,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
117,60,96,Gemma Bovery,12,1/1/1999,English,Posy Simmonds,Posy,Simmonds,0,UK,UK,NA,8/9/1945,White,NA,1999,1990-1999,Female,Literary Fiction,Graphic Novel,0,At Least 1 Female Illustrator
45,61,95,Ghost World,18,1/1/1997,English,Daniel Clowes,Daniel,Clowes,1,USA,USA,NA,4/14/1961,White,NA,1997,1990-1999,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
175,62,93,"Hawkeye, Vol. 1: My Life as a Weapon",6,3/13/2013,English,Alan Davis,Alan,Davis,1,UK,UK,NA,6/18/1956,White,NA,2013,2010-2017,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
14,63,92,"Hellboy Library Edition, Volume 1: Seed of Destruction and Wake the Devil",25,1/1/2008,English,Mike Mignola,Mike,Mignola,1,USA,USA,NA,9/16/1960,White,NA,2008,2000-2009,Male,Horror,Graphic Fantasy,1,Only Male Illustrator(s)
14,64,91,"Hellboy Library Edition, Volume 2: The Chained Coffin, The Right Hand of Doom, and Others",25,10/15/2008,English,Mike Mignola,Mike,Mignola,1,USA,USA,NA,9/16/1960,White,NA,2008,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
53,65,90,Hicksville,7,10/20/1998,English,Dylan Horrocks,Dylan,Horrocks,1,New Zealand,New Zealand,NA,1/1/1966,White,NA,1998,1990-1999,Male,Mystery,Graphic Fantasy,1,Only Male Illustrator(s)
123,66,89,How to Understand Israel in 60 Days or Less,2,11/3/2010,English,Sarah Glidden,Sarah,Glidden,0,USA,USA,NA,6/16/1980,White,NA,2010,2010-2017,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
41,67,87,I Never Liked You,4,1/1/1994,English,Chester Brown,Chester,Brown,1,Canada,Canada,NA,5/16/1960,White,NA,1994,1990-1999,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
174,68,88,Icon. Vol.1: A Hero's Welcome,1,1/1/1997,English,Mark D. Bright,Mark D.,Bright,1,USA,USA,NA,1/1/1955,White,NA,1997,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
150,69,25,The Infinity Gauntlet,1,1/1/1991,English,George Perez,George,Perez,1,USA,USA,NA,6/9/1954,White,NA,1991,1990-1999,Male,Science Fiction,Graphic Fantasy,1,Only Male Illustrator(s)
173,70,86,It's A Bird,7,5/1/2004,English,Teddy Kristiansen,Teddy,Kristiansen,1,Denmark,Denmark,NA,1/1/1964,White,NA,2004,2000-2009,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
125,71,85,"It's a Good Life, If You Don't Weaken",1,9/1/1996,English,Gregory Gallant,Gregory,Gallant,1,NA,USA,NA,9/16/1962,White,Seth,1996,1990-1999,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
42,73,82,Jimmy Corrigan: The Smartest Kid on Earth,60,9/12/2000,English,Chris Ware,Chris,Ware,1,USA,USA,NA,12/28/1967,White,NA,2000,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
264,76,197,Need More Love: A Graphic Memoir,4,2/1/2007,English,Aline Kominsky-Crumb,Aline,Kominsky-Crumb,0,USA,USA,NA,8/1/1948,White,NA,2007,2000-2009,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
168,77,78,Logicomix: An Epic Search for Truth,5,9/29/2009,English,Alecos Papadatos,Alecos,Papadatos,1,Greece,Greece,NA,5/18/1959,White,NA,2009,2000-2009,Male,Educational,Non-Fiction,1,Only Male Illustrator(s)
166,79,76,Lost Girls,32,8/26/2006,English,Melinda Gebbie,Melinda,Gebbie,0,USA,USA,NA,NA,White,NA,2006,2000-2009,Female,Adult,Miscellaneous,0,At Least 1 Female Illustrator
99,81,74,Mail Order Bride,2,1/1/2001,English,Mark Kalesniko,Mark,Kalesniko,1,Canada,USA,NA,NA,White,NA,2001,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
56,82,73,"Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir",1,11/6/2012,English,Ellen Forney,Ellen,Forney,0,USA,USA,NA,3/8/1968,White,NA,2012,2010-2017,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
107,83,72,March: Book One,1,8/13/2013,English,Nate Powell,Nate,Powell,1,USA,USA,NA,1/1/1978,White,NA,2013,2010-2017,Male,Biography,Non-Fiction,1,Only Male Illustrator(s)
107,84,71,March: Book Two,1,1/20/2015,English,Nate Powell,Nate,Powell,1,USA,USA,NA,1/1/1978,White,NA,2015,2010-2017,Male,Biography,Non-Fiction,1,Only Male Illustrator(s)
201,85,179,Miracleman: The Golden Age,17,1/1/1993,English,Mark Buckingham,Mark,Buckingham,1,UK,Spain,NA,5/23/1966,White,NA,1993,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
37,86,70,Mom's Cancer,1,1/1/2004,English,Brian Fies,Brian,Fies,1,NA,NA,NA,NA,Unknown,NA,2004,2000-2009,Male,Biography,Non-Fiction,1,Only Male Illustrator(s)
116,87,69,"Mother, Come Home",3,1/1/2003,English,Paul Hornschemeier,Paul,Hornschemeier,1,USA,USA,NA,10/27/1977,White,NA,2003,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
87,88,168,Narcissa,0,9/17/2002,English,Lance Tooks,Lance,Tooks,1,USA,USA,NA,NA,African American,NA,2002,2000-2009,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
86,89,68,Nat Turner,11,6/15/2006,English,Kyle Baker,Kyle,Baker,1,USA,USA,NA,1/1/1965,African American,NA,2006,2000-2009,Male,Biography,Non-Fiction,1,Only Male Illustrator(s)
95,91,167,One Hundred Demons,13,8/13/2002,English,Lynda Barry,Lynda,Barry,0,USA,USA,NA,1/2/1956,Other Race,NA,2002,2000-2009,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
164,94,64,Our Cancer Year,3,10/13/1994,English,Frank Stack,Frank,Stack,1,USA,USA,NA,1/1/1937,White,NA,1994,1990-1999,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
80,95,63,Palestine,33,1/1/1996,English,Joe Sacco,Joe,Sacco,1,Malta,USA,NA,10/2/1960,White,NA,1996,1990-1999,Male,Graphic Journalism,Non-Fiction,1,Only Male Illustrator(s)
69,96,62,"Palomar: The Heartbreak Soup Stories, A Love and Rockets Book",10,7/1/2003,English,Gilbert Hernandez,Gilbert,Hernandez,1,USA,USA,NA,2/1/1957,Other Race,NA,2003,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
104,97,61,Paul Has a Summer Job,0,8/1/2002,English,Michel Rabagliati,Michel,Rabagliati,1,Canada,Canada,NA,1/1/1961,White,NA,2002,2000-2009,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
104,98,60,Paul Joins the Scouts,0,11/10/2011,English,Michel Rabagliati,Michel,Rabagliati,1,Canada,Canada,NA,1/1/1961,White,NA,2011,2010-2017,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
82,99,59,"Pedro and Me: Friendship, Loss, and What I Learned",1,1/1/2000,English,Judd Winick,Judd,Winick,1,USA,USA,NA,2/12/1970,White,NA,2000,2000-2009,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
76,102,56,RASL,1,9/17/2013,English,Jeff Smith,Jeff,Smith,1,USA,USA,NA,2/27/1960,White,NA,2013,2010-2017,Male,Science Fiction,Graphic Fantasy,1,Only Male Illustrator(s)
103,103,55,Red: A Haida Manga,1,1/1/2009,English,Michael Nicoll Yahgulanaas,Michael Nicoll,Yahgulanaas,1,Canada,Canada,NA,1/1/1954,Native American,NA,2009,2000-2009,Male,Action/Adventure,Graphic Novel,1,Only Male Illustrator(s)
46,105,196,Richard Stark's Parker: Slayground,0,12/17/2013,English,Darwyn Cooke,Darwyn,Cooke,1,Canada,Canada,NA,1/1/1962,White,NA,2013,2010-2017,Male,Crime,Graphic Novel,1,Only Male Illustrator(s)
80,106,53,"Safe Area Gorau017ede: The War in Eastern Bosnia, 1992-1995",2,1/1/2000,English,Joe Sacco,Joe,Sacco,1,Malta,USA,NA,10/2/1960,White,NA,2000,2000-2009,Male,Graphic Journalism,Non-Fiction,1,Only Male Illustrator(s)
197,107,175,"Saga of the Swamp Thing, Book 1",4,1/1/1983,English,Tom Yeates,Tom,Yeates,1,USA,USA,NA,1/19/1955,White,NA,1983,1980-1989,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
50,108,52,Same Difference,6,1/1/2004,English,Derek Kirk Kim,Derek Kirk,Kim,1,South Korea,USA,NA,1/1/1974,Asian,NA,2004,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
161,109,51,"Sex Criminals, Vol. 1: One Weird Trick",0,4/16/2014,English,Chip Zdarsky,Chip,Zdarsky,1,Canada,Canada,NA,12/21/1975,White,NA,2014,2010-2017,Male,Comedy,Humor,1,Only Male Illustrator(s)
161,110,50,"Sex Criminals, Vol. 2: Two Worlds, One Cop",0,2/1/2015,English,Chip Zdarsky,Chip,Zdarsky,1,Canada,Canada,NA,12/21/1975,White,NA,2015,2010-2017,Male,Comedy,Humor,1,Only Male Illustrator(s)
25,111,49,Shortcomings,13,9/20/2007,English,Adrian Tomine,Adrian,Tomine,1,USA,USA,NA,5/13/1974,Asian,NA,2007,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
47,112,48,Signal to Noise,8,10/13/1992,English,Dave McKean,Dave,McKean,1,UK,UK,NA,12/29/1963,White,NA,1992,1990-1999,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
22,113,174,Sin City. The Hard Goodbye,54,1/1/1992,English,Frank Miller,Frank,Miller,1,USA,USA,NA,1/27/1957,White,NA,1992,1990-1999,Male,Crime,Graphic Novel,1,Only Male Illustrator(s)
96,114,46,Skim,6,1/1/2008,English,Mariko Tamaki,Mariko,Tamaki,0,Canada,Canada,NA,NA,Other Race,NA,2008,2000-2009,Female,Coming of Age,Graphic Novel,0,At Least 1 Female Illustrator
72,115,45,Stuck Rubber Baby,7,1/1/1995,English,Howard Cruse,Howard,Cruse,1,USA,USA,NA,5/2/1944,White,NA,1995,1990-1999,Male,Historical Fiction,Graphic Novel,1,Only Male Illustrator(s)
158,117,43,Superman: Red Son,1,1/1/2003,English,Dave Johnson,Dave,Johnson,1,USA,USA,NA,3/4/1966,White,NA,2003,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
107,118,166,Swallow Me Whole,1,7/8/2008,English,Nate Powell,Nate,Powell,1,USA,USA,NA,1/1/1978,White,NA,2008,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
126,119,39,The Arrival,27,1/1/2006,English,Shaun Tan,Shaun,Tan,1,Australia,Australia,NA,1/1/1974,White,NA,2006,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
124,120,38,The Barn Owl's Wondrous Capers,0,1/9/2007,English,Sarnath Banerjee,Sarnath,Banerjee,1,India,India,NA,1/1/1972,Asian,NA,2007,2000-2009,Male,Historical Fiction,Graphic Novel,1,Only Male Illustrator(s)
120,121,37,The Book of Genesis,1,10/19/2009,English,Robert Crumb,Robert,Crumb,1,USA,USA,NA,8/30/1943,White,NA,2009,2000-2009,Male,Educational,Non-Fiction,1,Only Male Illustrator(s)
110,122,31,The Books of Magic,4,4/14/1993,English,John Bolton,John,Bolton,1,UK,UK,NA,5/23/1951,White,NA,1993,1990-1999,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
119,123,164,"The Borden Tragedy: A Memoir of the Infamous Double Murder at Fall River, Mass., 1892 (A Treasury of Victorian Murder)",1,9/1/1997,English,Rick Geary,Rick,Geary,1,USA,USA,NA,2/25/1946,White,NA,1997,1990-1999,Male,Crime,Graphic Novel,1,Only Male Illustrator(s)
85,124,30,The Boulevard of Broken Dreams,3,9/24/2002,English,Kim Deitch,Kim,Deitch,1,USA,NA,NA,1/1/1944,White,NA,2002,2000-2009,Male,Historical Fiction,Graphic Novel,1,Only Male Illustrator(s)
75,126,117,Collected Essex County,5,6/15/2009,English,Jeff Lemire,Jeff,Lemire,1,Canada,Canada,NA,3/21/1976,White,NA,2009,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
33,127,163,The Complete Maus,294,11/1/1996,English,Art Spiegelman,Art,Spiegelman,1,Sweden,USA,NA,2/15/1948,White,NA,1996,1990-1999,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
86,129,29,The Cowboy Wally Show,2,1/1/1996,English,Kyle Baker,Kyle,Baker,1,USA,USA,NA,1/1/1965,African American,NA,1996,1990-1999,Male,Satire,Humor,1,Only Male Illustrator(s)
95,131,160,The Greatest of Marlys,0,1/7/2000,English,Lynda Barry,Lynda,Barry,0,USA,USA,NA,1/2/1956,Other Race,NA,2000,2000-2009,Female,Coming of Age,Graphic Novel,0,At Least 1 Female Illustrator
145,132,28,The Hedge Knight: The Graphic Novel (A Game of Thrones),0,6/1/2004,English,Mike S. Miller,Mike S.,Miller,1,USA,USA,NA,1/1/1971,Unknown,NA,2004,2000-2009,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
34,134,24,The Jew of New York,8,12/7/1998,English,Ben Katchor,Ben,Katchor,1,USA,USA,NA,1/1/1951,White,NA,1998,1990-1999,Male,Historical Fiction,Graphic Novel,1,Only Male Illustrator(s)
207,135,194,The Metamorphosis,20,8/3/2003,English,Peter Kuper,Peter,Kuper,1,USA,USA,NA,9/22/1958,White,NA,2003,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
1,136,159,The Name of the Game,0,1/1/2001,English,Will Eisner,Will,Eisner,1,USA,USA,1/3/2005,3/6/2017,White,NA,2001,2000-2009,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
26,137,23,The Originals,14,11/3/2004,English,Dave Gibbons,Dave,Gibbons,1,UK,UK,NA,4/14/1949,White,NA,2004,2000-2009,Male,Science Fiction,Graphic Fantasy,1,Only Male Illustrator(s)
122,139,158,The Property,14,1/1/2013,English,Rutu Modan,Rutu,Modan,0,Israel,Israel,NA,1/1/1966,White,NA,2013,2010-2017,Female,Literary Fiction,Graphic Novel,0,At Least 1 Female Illustrator
149,140,21,The Puma Blues,2,9/16/2015,English,Michael Zulli,Michael,Zulli,1,USA,USA,NA,NA,White,NA,2015,2010-2017,Male,Science Fiction,Graphic Fantasy,1,Only Male Illustrator(s)
48,141,20,The Rocketeer,4,3/1/1990,English,Dave Stevens,Dave,Stevens,1,USA,USA,3/11/2008,7/29/1955,White,NA,1990,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
146,142,16,The Sandman. Vol. 1: Preludes & Nocturnes,96,1/1/1991,English,Sam Keith,Sam,Keith,1,USA,USA,NA,1/11/1963,White,NA,1991,1990-1999,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
147,143,18,The Sandman. Vol. 2: The Doll's House,96,1/1/1990,English,Mike Dringenberg,Mike,Dringenberg,1,France,USA,NA,1/1/1965,White,NA,1990,1990-1999,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
145,144,15,The Sworn Sword: The Graphic Novel (A Game of Thrones),0,7/2/2008,English,Mike S. Miller,Mike S.,Miller,1,USA,USA,NA,1/1/1971,Unknown,NA,2008,2000-2009,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
144,145,14,The Tale of One Bad Rat,3,10/1/1995,English,Ellie DeVille,Ellie,DeVille,0,NA,NA,NA,NA,Unknown,NA,1995,1990-1999,Female,Literary Fiction,Graphic Novel,0,At Least 1 Female Illustrator
130,147,13,The Thrilling Adventures of Lovelace and Babbage: The (Mostly) True Story of the First Computer,1,4/21/2015,English,Sydney Padua,Sydney,Padua,0,NA,NA,NA,NA,Unknown,NA,2015,2010-2017,Female,Historical Fiction,Graphic Novel,0,At Least 1 Female Illustrator
47,148,12,The Tragical Comedy or Comical Tragedy of Mr. Punch,3,1/1/1994,English,Dave McKean,Dave,McKean,1,UK,UK,NA,12/29/1963,White,NA,1994,1990-1999,Male,Fantasy,Graphic Fantasy,1,Only Male Illustrator(s)
143,149,11,"The Wicked + The Divine, Vol. 1: The Faust Act",0,11/12/2014,English,Jamie McKelvie,Jamie,McKelvie,1,UK,UK,NA,NA,White,NA,2014,2010-2017,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
1,150,157,To the Heart of the Storm,1,5/1/1991,English,Will Eisner,Will,Eisner,1,USA,USA,1/3/2005,3/6/2017,White,NA,1991,1990-1999,Male,Historical Fiction,Graphic Novel,1,Only Male Illustrator(s)
141,151,9,Top 10: The Forty-Niners,5,1/1/2005,English,Gene Ha,Gene,Ha,1,USA,USA,NA,8/19/1969,Asian,NA,2005,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
65,152,8,Troubled Souls,0,2/1/1990,English,John McCrea,John,McCrea,1,UK,UK,NA,1/1/1966,White,NA,1990,1990-1999,Male,Coming of Age,Graphic Novel,1,Only Male Illustrator(s)
