AuthorID,BookID,RelAuthorID,Title,Mentions,PrimPub,Image,OriginalLanguage,color_type,LimitedSeries,BookSeries,UnlimitedSeries,ISBN,Directory,AvgRating,NoRatings,OriginalTitle,Name,FirstName,LastName,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
7,5,28,Absolute Justice,0,1/1/08,Absolute Justice.jpg,English,colour,1,0,0,978-1-4012-3526-0,Absolute_Justice,4.17,1228,NA,Jim Krueger,Jim,Krueger,Male,USA,USA,,,White,
8,6,29,Age of Ultron,0,1/1/13,Age of Ultron.jpg,English,colour,1,0,0,978-0-7851-5566-9,,3.65,507,NA,Brian Michael Bendis,Brian Michael,Bendis,Male,USA,USA,,8/18/67,White,
10,8,31,American Born Chinese,23,9/1/06,American Born Chinese.jpg,English,colour,0,0,0,978-1-59643-152-2,American_Born_Chinese,3.88,55360,NA,Gene Luen Yang,Gene Luen,Yang,Male,USA,USA,,8/9/73,Asian,
11,174,225,Harvey Pekar's Cleveland,8,2/1/12,Harvey Pekar's Cleveland.jpg,English,monochrome,0,0,0,978-1-60309-091-9,Harvey_Pekars_Cleveland,3.99,975,NA,Harvey Pekar,Harvey,Pekar,Male,USA,USA,7/12/10,10/8/39,White,
11,9,32,American Splendor,27,1/1/86,American Splendor.jpg,English,--> black&white,0,0,1,978-0-345-46830-7,American_Splendor,4.04,6456,NA,Harvey Pekar,Harvey,Pekar,Male,USA,USA,7/12/10,10/8/39,White,
11,94,128,Our Cancer Year,3,10/13/94,Our Cancer Year.jpg,English,monochrome,0,0,0,1-56858-011-8,Our_Cancer_Year,3.88,1095,NA,Harvey Pekar,Harvey,Pekar,Male,USA,USA,7/12/10,10/8/39,White,
12,10,33,American Widow,8,9/1/08,American Widow.jpg,English,colour,0,0,0,978-0-345-50069-4,American_Widow,3.31,966,NA,Alissa Torres,Alissa,Torres,Female,,USA,,,Unknown,
13,11,34,Asterios Polyp,8,7/7/09,Asterios Polyp.jpg,English,colour,0,0,0,978-0-307-37732-6,Asterios_Polyp,4.19,21176,NA,David Mazzucchelli,David,Mazzucchelli,Male,USA,USA,,9/21/60,Unknown,
14,64,97,"Hellboy Library Edition, Volume 2: The Chained Coffin, The Right Hand of Doom, and Others",25,10/15/08,"Hellboy, Vol. 2. The Chained Coffin, The Right Hand of Doom.jpg",English,colour,1,0,0,978-1-59307-989-5,Hellboy_Library_Edition_Volume_2_The_Chained_Coffin_The_Right_Hand_of_Doom_and_Others,4.55,1158,NA,Mike Mignola,Mike,Mignola,Male,USA,USA,,9/16/60,White,
14,63,96,"Hellboy Library Edition, Volume 1: Seed of Destruction and Wake the Devil",25,1/1/08,"Hellboy, Vol. 1. Seed of Destruction and Wake the Devil.jpg",English,colour,1,0,0,978-1-59307-910-9,Hellboy_Library_Edition_Volume_1_Seed_of_Destruction_and_Wake_the_Devil,4.46,2120,NA,Mike Mignola,Mike,Mignola,Male,USA,USA,,9/16/60,White,
21,15,42,Batman: Dark Victory,1,1/1/99,Batman. Dark Victory.jpg,English,colour,1,0,0,978-1-4012-4401-9,Batman_Dark_Victory,4.12,24211,NA,Jeph Loeb,Jeph,Loeb,Male,USA,USA,,1/29/58,White,
21,18,45,Batman: The Long Halloween,3,1/1/97,Batman. The Long Halloween.jpg,English,colour,0,0,0,978-1-4012-3259-7,Batman_The_Long_Halloween,4.3,63584,NA,Jeph Loeb,Jeph,Loeb,Male,USA,USA,,1/29/58,White,
22,41,70,Daredevil: The Man Without Fear,2,10/1/93,Daredevil. The Man Without Fear.jpg,English,colour,1,0,0,978-0-7851-3479-4,Daredevil_The_Man_Without_Fear,4.19,5045,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,283,342,Sin City. Family Values,54,10/1/97,Sin City. Family Values.jpeg,English,--> black&white,1,0,0,978-1-59307-297-1,,3.88,7,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,19,46,Batman: Year One,8,2/1/87,Batman. Year One.jpg,English,colour,1,0,0,978-1-4012-0752-6,Batman_Year_One,4.22,170768,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,113,148,Sin City. The Hard Goodbye,54,1/1/92,Sin City. The Hard Goodbye.jpg,English,--> black&white,1,0,0,978-1-59307-293-3,Sin_City_The_Hard_Goodbye,4.16,45288,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,40,69,Daredevil: Born Again,1,2/1/86,Daredevil. Born Again.jpg,English,colour,1,0,0,978-0-7851-3481-7,Daredevil_Born_Again,4.32,9135,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,16,43,Batman: The Dark Knight Returns,3,2/1/86,Batman. The Dark Knight Returns.jpg,English,colour,1,0,0,978-1-56389-342-1,Batman_The_Dark_Knight_Returns,4.25,147454,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
22,50,82,Elektra Lives Again,1,3/1/90,Elektra Lives Again.jpg,English,colour,0,0,0,0-7851-0279-5,Elektra_Lives_Again,3.77,920,NA,Frank Miller,Frank,Miller,Male,USA,USA,,1/27/57,White,
23,20,47,Beasts of Burden: Animal Rites,0,6/30/10,Beasts of Burden. Animal Rites.jpg,English,colour,1,1,0,978-1-59582-513-1,Beasts_of_Burden_Animal_Rites,4.15,3512,NA,Evan Dorkin,Evan,Dorkin,Male,USA,USA,,4/20/65,White,
24,21,48,Beowulf,11,10/1/07,Beowulf.jpg,English,monochrome,0,0,0,978-1-905692-25-5,Beowulf,3.27,48,NA,Stephen L. Stern,Stephen L.,Stern,Male,USA,USA,,,White,
25,195,247,Killing and Dying,0,10/1/15,Killing and Dying.jpg,English,colour,0,0,0,978-1-77046-209-0,Killing_and_Dying,3.97,5111,NA,Adrian Tomine,Adrian,Tomine,Male,USA,USA,,5/13/74,Asian,
25,111,146,Shortcomings,13,9/20/07,Shortcomings.jpg,English,--> black&white,1,0,0,978-1-897299-75-3,Shortcomings,3.64,10593,NA,Adrian Tomine,Adrian,Tomine,Male,USA,USA,,5/13/74,Asian,
26,137,172,The Originals,14,11/3/04,The Originals.jpg,English,--> bichrome,0,0,0,1-4012-0356-6,The_Originals,3.1,467,NA,Dave Gibbons,Dave,Gibbons,Male,UK,UK,,4/14/49,White,
30,58,91,Fun Home,68,6/8/06,Fun Home.jpg,English,monochrome,0,0,0,978-0-618-87171-1,Fun_Home,4.1,94747,NA,Alison Bechdel,Alison,Bechdel,Female,USA,USA,,9/10/60,White,
30,169,220,Are You My Mother? A Comic Drama,4,5/1/12,Are You My Mother. A Comic Drama.jpg,English,colour,0,0,0,978-0-544-00223-4,Are_You_My_Mother_A_Comic_Drama,3.67,21281,NA,Alison Bechdel,Alison,Bechdel,Female,USA,USA,,9/10/60,White,
31,77,110,Logicomix: An Epic Search for Truth,5,9/29/09,Logicomix. An Epic Search for Truth.jpg,English,colour,0,0,0,978-1-59691-452-0,Logicomix_An_Epic_Search_for_Truth,4.01,13170,NA,Apostolos Doxiadis,Apostolos,Doxiadis,Male,Australia,Greece,,6/6/53,White,
32,77,111,Logicomix: An Epic Search for Truth,5,9/29/09,Logicomix. An Epic Search for Truth.jpg,English,colour,0,0,0,978-1-59691-452-0,Logicomix_An_Epic_Search_for_Truth,4.01,13170,NA,Christos Papadimitriou,Christos,Papadimitriou,Male,Greece,USA,,8/16/49,White,
33,127,162,The Complete Maus,294,11/1/96,The Complete Maus.jpg,English,--> black&white,1,0,0,0-679-40641-7,The_Complete_Maus,4.53,93701,NA,Art Spiegelman,Art,Spiegelman,Male,Sweden,USA,,2/15/48,White,
34,134,169,The Jew of New York,8,12/7/98,The Jew of New York.jpg,English,monochrome,1,0,0,978-0-375-70097-2,The_Jew_of_New_York,3.61,244,NA,Ben Katchor,Ben,Katchor,Male,USA,USA,,1/1/51,White,
35,53,86,Fables: 1001 Nights of Snowfall,24,10/18/06,Fables. 1001 Nights of Snowfall.jpg,English,colour,0,0,0,978-1-401-203696,Fables_1001_Nights_of_Snowfall,4.15,12685,NA,Bill Willingham,Bill,Willingham,Male,USA,USA,,1/1/56,White,
36,37,66,Complete Multiple Warheads TP,0,1/8/14,Complete Multiple Warheads TP.jpg,English,colour,1,0,0,978-1-60706-840-2,,3.86,322,NA,Brandon Graham,Brandon,Graham,Male,USA,USA,,1/1/76,White,
36,261,327,King City,0,3/7/12,King City.jpg,English,monochrome,0,0,0,978-1-60706-510-4,,3.99,2008,NA,Brandon Graham,Brandon,Graham,Male,USA,USA,,1/1/76,White,
37,86,120,Mom's Cancer,1,1/1/04,Mom's Cancer.jpg,English,monochrome,0,0,0,978-0-8109-7107-3,Moms_Cancer,3.86,1135,NA,Brian Fies,Brian,Fies,Male,,,,,Unknown,
38,145,181,The Tale of One Bad Rat,3,10/1/95,The Tale of One Bad Rat.jpg,English,colour,1,0,0,978-0-224-08470-3,The_Tale_of_One_Bad_Rat,3.88,2476,NA,Bryan Talbot,Bryan,Talbot,Male,UK,UK,,2/24/52,White,
39,55,88,The Finder Library. Volume 1,1,3/1/11,The Finder Library. Vol. 1.jpg,English,--> black&white,0,0,1,978-1-59582-652-7,The_Finder_Library_Volume_1,4.13,756,NA,Carla Speed McNeill,Carla Speed,McNeill,Female,USA,USA,,,White,
40,24,51,Black Hole,15,10/18/05,Black Hole.jpg,English,--> black&white,1,0,0,0-224-07778-3,Black_Hole,3.83,36456,NA,Charles Burns,Charles,Burns,Male,USA,USA,,9/27/55,White,
41,178,230,Ed the Happy Clown,2,1/1/92,Ed the Happy Clown.jpg,English,--> black&white,0,0,0,978-1-77046-075-1,Ed_the_Happy_Clown,3.93,1166,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
41,182,234,Louis Riel: A Comic-Strip Biography,10,1/1/03,Louis Riel. A Comic-Strip Biography.jpg,English,--> black&white,1,0,0,9.78E+12,,3.86,4,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
41,211,264,The Playboy,11,1/1/92,The Playboy.jpg,English,--> black&white,1,0,0,978-1-77046-118-5,The_Playboy,3.72,1202,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
41,210,263,Paying For It,4,5/10/11,Paying For It.jpg,English,--> black&white,0,0,0,978-1-77046-119-2,,3.64,3984,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
41,67,101,I Never Liked You,4,1/1/94,I Never Liked You.jpg,English,monochrome,1,0,0,978-1-896597-14-0,I_Never_Liked_You,3.75,4769,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
41,203,256,Mary Wept Over the Feet of Jesus,0,1/1/16,Mary Wept Over the Feet of Jesus.jpg,English,--> black&white,0,0,0,978-1-77046-234-2,Mary_Wept_Over_the_Feet_of_Jesus,3.68,647,NA,Chester Brown,Chester,Brown,Male,Canada,Canada,,5/16/60,White,
42,73,106,Jimmy Corrigan: The Smartest Kid on Earth,60,9/12/00,Jimmy Corrigan. The Smartest Kid on Earth.jpg,English,colour,1,0,0,0-375-40453-5,Jimmy_Corrigan_The_Smartest_Kid_on_Earth,4.1,19876,NA,Chris Ware,Chris,Ware,Male,USA,USA,,12/28/67,White,
42,26,53,Building Stories,27,10/1/12,Building Stories.jpg,English,colour,0,0,0,978-0375424335,,4.29,5690,NA,Chris Ware,Chris,Ware,Male,USA,USA,,12/28/67,White,
43,31,60,Carnet De Voyage,5,8/3/04,Carnet de Voyage (Travel Journal).jpg,English,--> black&white,0,0,0,978-1-891830-60-0,Carnet_De_Voyage,3.74,4184,NA,Craig Thompson,Craig,Thompson,Male,USA,USA,,9/21/75,White,
43,173,223,Habibi,2,9/20/11,Habibi.jpg,English,monochrome,0,0,0,978-0-571-24132-3,Habibi,4.03,30671,NA,Craig Thompson,Craig,Thompson,Male,USA,USA,,9/21/75,White,
43,158,57,Blankets,9,7/23/03,Blankets.jpg,English,--> black&white,0,0,0,978-1-891830-43-3,Blankets,4.06,76270,NA,Craig Thompson,Craig,Thompson,Male,USA,USA,,9/21/75,White,
44,45,74,Deadpool Kills the Marvel Universe,0,8/1/11,Deadpool Kills the Marvel Universe.jpg,English,colour,1,0,0,978-0-7851-6403-6,Deadpool_Kills_the_Marvel_Universe,3.86,8598,NA,Cullen Bunn,Cullen,Bunn,Male,USA,USA,,1/1/71,White,
45,214,267,David Boring,11,9/12/00,David Boring.JPG,English,monochrome,1,0,0,978-0-375-71452-8,David_Boring,3.8,7152,NA,Daniel Clowes,Daniel,Clowes,Male,USA,USA,,4/14/61,White,
45,61,94,Ghost World,18,1/1/97,Ghost World.png,English,--> bichrome,1,0,0,978-1-560-97427-7,Ghost_World,3.86,54483,NA,Daniel Clowes,Daniel,Clowes,Male,USA,USA,,4/14/61,White,
45,212,265,Like a Velvet Glove Cast in Iron,4,1/17/93,Like a Velvet Glove Cast in Iron.jpg,English,monochrome,1,0,0,978-1-56097-116-0,Like_a_Velvet_Glove_Cast_in_Iron,4.06,6155,NA,Daniel Clowes,Daniel,Clowes,Male,USA,USA,,4/14/61,White,
45,213,266,Ice Haven,3,6/7/05,Ice Haven.jpg,English,colour,1,0,0,978-0-375-71469-6,Ice_Haven,3.85,5311,NA,Daniel Clowes,Daniel,Clowes,Male,USA,USA,,4/14/61,White,
46,262,329,Richard Stark's Parker: The Hunter,0,6/1/09,Richard Stark's Parker. The Hunter.jpg,English,monochrome,0,0,0,978-1613773994,,4.2,6388,NA,Darwyn Cooke,Darwyn,Cooke,Male,Canada,Canada,,1/1/62,White,
46,44,73,DC: The New Frontier,3,12/1/04,DC. The New Frontier.jpg,English,colour,1,0,0,978-1-4012-4888-8,DC_The_New_Frontier,4.41,4307,NA,Darwyn Cooke,Darwyn,Cooke,Male,Canada,Canada,,1/1/62,White,
46,186,238,Richard Stark's Parker: The Score,1,7/24/12,Richard Stark's Parker. The Score.jpg,English,colour,0,0,0,978-1613772089,Richard_Starks_Parker_The_Score,4.28,2060,NA,Darwyn Cooke,Darwyn,Cooke,Male,Canada,Canada,,1/1/62,White,
46,105,331,Richard Stark's Parker: Slayground,0,12/17/13,Richard Stark's Parker. Slayground.jpg,English,colour,0,0,0,978-1613778128,Richard_Starks_Parker_Slayground,4.06,1033,NA,Darwyn Cooke,Darwyn,Cooke,Male,Canada,Canada,,1/1/62,White,
47,27,54,Cages,8,1/1/98,Cages.jpg,English,colour,1,0,0,978-1-59582-316-8,Cages,4.13,2237,NA,Dave McKean,Dave,McKean,Male,UK,UK,,12/29/63,White,
48,141,176,The Rocketeer,4,3/1/90,The Rocketeer.jpg,English,colour,0,0,1,978-1600105388,The_Rocketeer,4.07,1108,NA,Dave Stevens,Dave,Stevens,Male,USA,USA,3/11/08,7/29/55,White,
50,108,143,Same Difference,6,1/1/04,Same Difference.jpg,English,monochrome,0,0,0,978-1-59643-657-2,Same_Difference,3.67,1940,NA,Derek Kirk Kim,Derek Kirk,Kim,Male,South Korea,USA,,1/1/74,Asian,
52,68,100,Icon. Vol.1: A Hero's Welcome,1,1/1/97,Icon. Vol. 1. A Hero's Welcome.jpg,English,colour,0,0,1,978-1-4012-2549-0,Icon_Vol1_A_Heros_Welcome,4,134,NA,Dwayne McDuffle,Dwayne,McDuffle,Male,,USA,2/21/11,2/20/62,African American,
53,65,98,Hicksville,7,10/20/98,Hicksville.jpg,English,--> black&white,0,0,0,9.78E+12,Hicksville,3.89,1616,NA,Dylan Horrocks,Dylan,Horrocks,Male,New Zealand,New Zealand,,1/1/66,White,
55,59,92,Gaylord Phoenix,1,11/1/07,Gaylord Phoenix.jpg,English,--> black&white,1,0,0,978-0-9799609-8-7,Gaylord_Phoenix,4.11,82,NA,Edie Fake,Edie,Fake,Male,USA,USA,,1/1/80,White,
56,82,116,"Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir",1,11/6/12,"Marbles. Mania, Depression, Michelangelo, and Me. A Graphic Memoir.jpg",English,--> black&white,0,0,0,978-1-592-40732-3,Marbles_Mania_Depression_Michelangelo_and_Me_A_Graphic_Memoir,3.95,10648,NA,Ellen Forney,Ellen,Forney,Female,USA,USA,,3/8/68,White,
61,28,55,Cairo,6,11/1/07,Cairo.jpg,English,monochrome,0,0,0,978-1-4012-1734-1,Cairo,3.78,1951,NA,G. Willow Wilson,G. Willow,Wilson,Female,USA,USA,,8/31/82,White,
63,43,72,Daytripper,2,2/1/10,Daytripper.jpg,English,colour,1,0,0,978-1-4012-2969-6,Daytripper,4.31,20498,NA,Gabriel Ba,Gabriel,Ba,Male,Brazil,Brazil,,6/5/76,Hispanic Origin,
64,152,188,Troubled Souls,0,2/1/90,Troubled Souls.jpg,English,colour,0,0,0,0-85386-174-x,Troubled_Souls,3.42,62,NA,Garth Ennis,Garth,Ennis,Male,UK,UK,,1/16/70,White,
67,144,179,The Sworn Sword: The Graphic Novel (A Game of Thrones),0,7/2/08,The Sworn Sword. The Graphic Novel (A Game of Thrones).jpg,English,colour,0,1,0,978-1-477-84929-3,,4.12,6004,NA,George R. R. Martin,George R. R.,Martin,Male,USA,USA,,9/20/48,White,
67,255,320,A Game of Thrones: The Graphic Novel Vol.1,1,3/27/12,A Game of Thrones.jpg,English,colour,0,1,0,978-0-440-42321-8,,4.47,27632,NA,George R. R. Martin,George R. R.,Martin,Male,USA,USA,,9/20/48,White,
67,132,167,The Hedge Knight: The Graphic Novel (A Game of Thrones),0,6/1/04,The Hedge Knight. The Graphic Novel (A Game of Thrones).jpg,English,colour,0,1,0,978-1-477-84910-1,,4.11,17755,NA,George R. R. Martin,George R. R.,Martin,Male,USA,USA,,9/20/48,White,
68,132,208,The Hedge Knight: The Graphic Novel (A Game of Thrones),0,6/1/04,The Hedge Knight. The Graphic Novel (A Game of Thrones).jpg,English,colour,0,1,0,978-1-477-84910-1,,4.11,17755,NA,Ben Avery,Ben,Avery,Male,USA,USA,,,White,
68,144,180,The Sworn Sword: The Graphic Novel (A Game of Thrones),0,7/2/08,The Sworn Sword. The Graphic Novel (A Game of Thrones).jpg,English,colour,0,1,0,978-1-477-84929-3,,4.12,6004,NA,Ben Avery,Ben,Avery,Male,USA,USA,,,White,
69,96,131,"Palomar: The Heartbreak Soup Stories, A Love and Rockets Book",10,7/1/03,"Palomar. The Heartbreak Soup Stories, A Love and Rockets Book.jpg",English,--> black&white,1,0,0,978-1-560-97783-4,Palomar_The_Heartbreak_Soup_Stories_A_Love_and_Rockets_Book,4.35,1496,NA,Gilbert Hernandez,Gilbert,Hernandez,Male,USA,USA,,2/1/57,Other Race,
69,166,202,"Love and Rockets, Vol. 12: Poison River",50,1/1/94,"Love and Rockets, Vol. 12. Poison River.jpg",English,--> black&white,0,0,1,1-56097-151-7,Love_and_Rockets_Vol_12_Poison_River,4.4,224,NA,Gilbert Hernandez,Gilbert,Hernandez,Male,USA,USA,,2/1/57,Other Race,
71,94,129,Our Cancer Year,3,10/13/94,Our Cancer Year.jpg,English,monochrome,0,0,0,1-56858-011-8,Our_Cancer_Year,3.88,1095,NA,Joyce Brabner,Joyce,Brabner,Female,USA,USA,,3/1/52,White,
72,115,150,Stuck Rubber Baby,7,1/1/95,Stuck Rubber Baby.jpg,English,monochrome,0,0,0,1-56389-255-3,Stuck_Rubber_Baby,3.99,3861,NA,Howard Cruse,Howard,Cruse,Male,USA,USA,,5/2/44,White,
73,22,49,"Berlin, Vol. 2: City of Smoke",0,9/1/08,Berlin. City of Smoke. Book Two.jpg,English,monochrome,1,1,0,978-1-897299-53-1,Berlin_Vol_2_City_of_Smoke,4.08,1853,NA,Jason Lutes,Jason,Lutes,Male,USA,USA,,12/7/67,White,
73,162,199,Jar of Fools,1,1/1/94,Jar of Fools.jpg,English,--> black&white,1,0,0,1-896597-72-6,Jar_of_Fools,3.79,1427,NA,Jason Lutes,Jason,Lutes,Male,USA,USA,,12/7/67,White,
73,23,50,"Berlin, Vol.1: City of Stones",2,6/1/00,Berlin. City of Stones. Book One.jpg,English,monochrome,1,0,0,978-1-896597-29-4,Berlin_Vol1_City_of_Stones,3.93,4475,NA,Jason Lutes,Jason,Lutes,Male,USA,USA,,12/7/67,White,
75,126,161,Collected Essex County,5,6/15/09,Collected Essex Country.jpg,English,--> black&white,1,0,0,978-1-60309-038-4,Collected_Essex_County,4.3,7546,NA,Jeff Lemire,Jeff,Lemire,Male,Canada,Canada,,3/21/76,White,
76,266,335,Bone: The Complete Cartoon Epic in One Volume,14,1/1/04,Bone. The Complete Cartoon Epic in One Volume.jpg,English,--> black&white,0,1,0,978-1-888963-14-4,,4.42,29805,NA,Jeff Smith,Jeff,Smith,Male,USA,USA,,2/27/60,White,
76,102,137,RASL,1,9/17/13,RASL.jpg,English,colour,1,0,0,978-188896337-3,RASL,3.74,1317,NA,Jeff Smith,Jeff,Smith,Male,USA,USA,,2/27/60,White,
78,69,102,The Infinity Gauntlet,1,1/1/91,The Infinity Gauntlet.jpg,English,colour,1,0,0,978-0-7851-5659-8,The_Infinity_Gauntlet,4.07,8124,NA,Jim Starlin,Jim,Starlin,Male,USA,USA,,10/9/49,White,
79,54,87,Fax from Sarajevo,3,11/1/96,Fax from Sarajevo.png,English,colour,0,0,0,1-56971-346-4,Fax_from_Sarajevo,3.85,564,NA,Joe Kubert,Joe,Kubert,Male,Poland,USA,8/12/12,9/18/26,White,
80,95,130,Palestine,33,1/1/96,Palestine.jpg,English,monochrome,1,0,0,978-0-22406-982-3,Palestine,4.2,11888,NA,Joe Sacco,Joe,Sacco,Male,Malta,USA,,10/2/60,White,
80,106,141,"Safe Area Gorau017ede: The War in Eastern Bosnia, 1992-1995",2,1/1/00,"Safe Area Gorau017ede. The War in Eastern Bosnia, 1992-1995.jpg",English,--> black&white,0,0,0,978-0-224-08089-7,,4.27,7097,NA,Joe Sacco,Joe,Sacco,Male,Malta,USA,,10/2/60,White,
80,175,227,Footnotes in Gaza,17,1/1/09,Footnotes in Gaza.jpg,English,--> black&white,0,0,0,978-0-805-09277-6,Footnotes_in_Gaza,4.27,3863,NA,Joe Sacco,Joe,Sacco,Male,Malta,USA,,10/2/60,White,
80,176,228,Bumf Vol. 1: I Buggered The Kaiser,0,7/15/14,Bumf. Vol.1. I Buggered The Kaiser.png,English,--> black&white,0,0,0,978-0-224-10198-1,Bumf_Vol_1_I_Buggered_The_Kaiser,3.35,193,NA,Joe Sacco,Joe,Sacco,Male,Malta,USA,,10/2/60,White,
