"BookID","FormatID","Edition","Book Name","Genre","Genre Group","More than One Edition (1=Y)","Author1ID","Author2ID","Author 1 - First Name","Author 1 - Last Name","Author 1 - Gender (1=M)","Author 1 - Country of Origin","Author 1 - Ethnicity","Author 1 - DOB","Author 1 - Age","Author 2 - First Name","Author 2 - Last Name","Author 2 - Gender (1=M)","Any Female Authors (0 = Y)","Author 2 - Country of Origin","Author 2 - Ethnicity","Author 2 - DOB","Author 2 - Age","LanguageID","Mentions","Pages","PlaceOfPublicationID","PublisherID","SIze","Date","Width","Depth","Height","Unit"
23,"SC","1st edition","Berlin, Vol.1: City of Stones","Historical Non-Fiction","Non-Fiction",0,73,"N/A","Jason","Lutes",1,"USA","White","1967-12-07",32,NA,NA,NA,1,NA,NA,NA,NA,"English",1,209,"Montreal, Canada","Drawn and Quarterly","7.4 x 0.8 x 9.3 inches","2000-06-01",7.4,0.8,9.3,"inches"
24,"HC",NA,"Black Hole","Coming of Age","Graphic Novel",1,40,"N/A","Charles","Burns",1,"USA","White","1955-09-27",50,NA,NA,NA,1,NA,NA,NA,NA,"English",4,352,"New York City","Pantheon","6.9 x 1.5 x 9.5 inches","2005-10-18",6.9,1.5,9.5,"inches"
26,"HC","Box Pck edition","Building Stories","Literary Fiction","Graphic Novel",0,42,"N/A","Chris","Ware",1,"USA","White","1967-12-28",44,NA,NA,NA,1,NA,NA,NA,NA,"English",2,260,"New York City","Pantheon","11.7 x 1.9 x 16.6 inches","2012-10-02",11.7,1.9,16.6,"inches"
27,"HC",NA,"Cages","Fantasy","Graphic Fantasy",1,47,"N/A","Dave","McKean",1,"UK","White","1963-12-29",38,NA,NA,NA,1,NA,NA,NA,NA,"English",1,496,"New York City, USA","NBM Publishing","11.5 x 8.8 x 1.4 inches","2002-04-01",8.8,1.4,11.5,"inches"
28,"HC",NA,"Cairo","Mystery","Graphic Fantasy",1,61,"0","G. Willow","Wilson",0,"USA","White","1982-08-31",25,"David","Wojnarowicz",1,0,"USA","White","1954-09-14",53,"English",1,160,"New York City","Vertigo","7.2 x 0.6 x 9.4 inches","2007-11-07",7.2,0.6,9.4,"inches"
29,"HC","First Edition edition","Can't We Talk about Something More Pleasant?: A Memoir","Memoir","Graphic Memoir",0,121,"N/A","Roz","Chast",0,"USA","White","1954-11-26",59,NA,NA,NA,0,NA,NA,NA,NA,"English",1,228,"New York, USA","Bloomsbury USA","7.7 x 0.9 x 9.5 inches","2014-05-06",7.7,0.9,9.5,"inches"
30,"HC","1 edition","Cancer Vixen: A True Story","Memoir","Graphic Memoir",1,97,"N/A","Marisa Acocella","Marchetto",0,"USA","White","1962-01-01",44,NA,NA,NA,0,NA,NA,NA,NA,"English",1,224,"New York City","Knopf",NA,"2006-09-26",7.8,0.8,8.2,"inches"
31,"SC",NA,"Carnet De Voyage","Travel Writing","Non-Fiction",0,43,"N/A","Craig","Thompson",1,"USA","White","1975-09-21",28,NA,NA,NA,1,NA,NA,NA,NA,"English",1,224,"Marietta, USA","Top Shelf Productions","0.8 x 5.5 x 7.5 inches","2004-08-03",5.5,0.8,7.5,"inches"
32,"HC","1 edition","Castle Waiting Vol. 2: The Definitive Edition","Fairy Tale","Graphic Fantasy",0,90,"N/A","Linda","Medley",0,"USA","White","1964-05-17",49,NA,NA,NA,0,NA,NA,NA,NA,"English",1,464,"Seattle, USA","Fantagraphics","5.9 x 1.6 x 8.3 inches","2013-05-17",5.9,1.6,8.3,"inches"
34,"SC","Reprint edition","City of Glass: The Graphic Novel","Mystery","Graphic Fantasy",0,115,"N/A","Paul","Auster",1,"USA","White","1947-02-03",57,NA,NA,NA,1,NA,NA,NA,NA,"English",1,144,"New York, USA","Picador","5.5 x 0.3 x 8.2 inches","2004-08-01",5.5,0.3,8.2,"inches"
36,"SC",NA,"Civil War","Superhero","Graphic Novel",0,100,"N/A","Mark","Millar",1,"UK","White","1969-12-24",37,NA,NA,NA,1,NA,NA,NA,NA,"English",2,208,"New York City","Marvel","6.8 x 0.4 x 10.2 inches","2007-04-11",6.8,0.4,10.2,"inches"
37,"SC",NA,"Complete Multiple Warheads TP","Fantasy","Graphic Fantasy",0,36,"N/A","Brandon","Graham",1,"USA","White","1976-01-01",38,NA,NA,NA,1,NA,NA,NA,NA,"English",1,208,"Berkeley, USA","Image Comics","0.5 x 6.5 x 10 inches","2014-01-21",6.5,0.5,10,"inches"
38,"SC",NA,"Corridor: A Graphic Novel","Literary Fiction","Graphic Novel",0,124,"N/A","Sarnath","Banerjee",1,"India","Asian","1972-01-01",32,NA,NA,NA,1,NA,NA,NA,NA,"English",1,112,"New Delhi, India","Penguin Books","8.5 x 6.3 x 0.4 inches","2004-03-01",6.3,0.4,8.5,"inches"
40,"HC","1st Edition","Daredevil: Born Again","Superhero","Graphic Novel",1,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",52,NA,NA,NA,1,NA,NA,NA,NA,"English",2,248,"New York City","Marvel","10.4 x 6.9 x 0.8 inches","2010-01-01",6.9,0.8,10.4,"inches"
41,"HC","First Edition","Daredevil: The Man Without Fear","Superhero","Graphic Novel",1,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",51,NA,NA,NA,1,NA,NA,NA,NA,NA,0,224,"New York, USA","Marvel",NA,"2008-12-24",7,0.8,10.5,"inches"
42,"SC","1st Edition","Darkroom: A Memoir in Black and White","Memoir","Graphic Memoir",0,89,"N/A","Lila Quintero","Weaver",0,"Argentina","Hispanic Origin","1955-01-01",57,NA,NA,NA,0,NA,NA,NA,NA,"English",1,250,"Tuscaloosa, USA","University Alabama Press","6.1 x 0.8 x 9.2 inches","2012-03-01",6.1,0.8,9.2,"inches"
43,"SC","1st edition","Daytripper","Literary Fiction","Graphic Novel",1,63,"179","Gabriel","Ba",1,"Brazil","Hispanic Origin","1976-06-05",34,"Fabio","Moon",1,1,"Brazil","Hispanic Origin","1976-06-05",34,"English",2,248,"New York, USA","DC Comics","6.7 x 0.6 x 10.2 inches","2011-02-08",6.7,0.6,10.2,"inches"
44,"SC","The Deluxe Edition","DC: The New Frontier","Superhero","Graphic Novel",0,46,"N/A","Darwyn","Cooke",1,"Canada","White","1962-01-01",42,NA,NA,NA,1,NA,NA,NA,NA,"English",1,511,"New York, USA","DC Comics",NA,"2004-12-01",6.7,1.1,10.2,"inches"
45,"SC",NA,"Deadpool Kills the Marvel Universe","Horror","Graphic Fantasy",0,44,"N/A","Cullen","Bunn",1,"USA","White","1971-01-01",41,NA,NA,NA,1,NA,NA,NA,NA,"English",1,96,"New York, USA","Marvel","6.8 x 0.2 x 10.2 inches","2012-11-14",6.8,0.2,10.2,"inches"
50,"HC","First Edition","Elektra Lives Again","Action/Adventure","Graphic Novel",1,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",33,NA,NA,NA,1,NA,NA,NA,NA,"English",1,80,"New York, USA","Marvel","12 x 9.3 x 5 inches","1991-01-01",9.3,0.5,12,"inches"
52,"HC",NA,"Exit Wounds","Coming of Age","Graphic Novel",1,122,"0","Rutu","Modan",0,"Israel","White","1966-01-01",41,"David","Wojnarowicz",1,0,"USA","White","1954-09-14",52,"English",2,168,"Montreal, Canada","Drawn and Quarterly","9.3 x 7.1 x 0.9 inches","2007-06-12",7.1,0.9,9.3,"inches"
53,"HC","1st Edition","Fables: 1001 Nights of Snowfall","Fantasy","Graphic Fantasy",1,35,"N/A","Bill","Willingham",1,"USA","White","1956-01-01",50,NA,NA,NA,1,NA,NA,NA,NA,"English",1,144,"New York, USA","Vertigo","6.9 x 0.6 x 10.4 inches","2006-10-18",6.9,0.6,10.4,"inches"
54,"SC","Gph edition","Fax from Sarajevo","Memoir","Graphic Memoir",0,79,"N/A","Joe","Kubert",1,"Poland","White","1926-09-18",70,NA,NA,NA,1,NA,NA,NA,NA,"English",1,180,"Milwaukee, USA","Dark Horse","11.1 x 8.6 x 0.9 inches","1996-10-15",8.6,0.9,11.1,"inches"
55,"SC",NA,"The Finder Library. Volume 1","Science Fiction","Graphic Fantasy",0,39,"N/A","Carla Speed","McNeill",0,"USA","White","0",NA,NA,NA,NA,0,NA,NA,NA,NA,"English",1,590,"Milwaukee, USA","Dark Horse","6 x 1.7 x 9 inches","2011-04-05",6,1.7,9,"inches"
57,"SC","New edition","From Hell","Crime","Graphic Novel",1,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",50,NA,NA,NA,1,NA,NA,NA,NA,"English",3,572,"Marietta, Georgia, USA","Top Shelf Productions","1.5 x 7.8 x 10.2 inches","2004-06-08",7.8,1.5,10.2,"inches"
58,"HC","1St Edition","Fun Home","Memoir","Graphic Memoir",1,30,"N/A","Alison","Bechdel",0,"USA","White","1960-09-10",45,NA,NA,NA,0,NA,NA,NA,NA,"English",5,240,"Boston, USA","Houghton Mifflin Harcourt","8.6.2006","2006-06-08",6,0.7,9,"inches"
59,"SC","Original edition","Gaylord Phoenix","Fantasy","Graphic Fantasy",0,55,"N/A","Edie","Fake",1,"USA","White","1980-01-01",30,NA,NA,NA,1,NA,NA,NA,NA,"English",1,256,"New York, USA","Secret Acres","0.8 x 5.5 x 8.5 inches","2010-12-01",5.5,0.8,8.5,"inches"
60,"SC","New edition","Gemma Bovery","Literary Fiction","Graphic Novel",1,117,"N/A","Posy","Simmonds",0,"UK","White","1945-08-09",55,NA,NA,NA,0,NA,NA,NA,NA,"English",3,104,"New York City","Pantheon","6.6 x 0.3 x 11.3 inches","2001-01-01",6.6,0.3,11.3,"inches"
61,"SC",NA,"Ghost World","Coming of Age","Graphic Novel",1,45,"N/A","Daniel","Clowes",1,"USA","White","1961-04-14",39,NA,NA,NA,1,NA,NA,NA,NA,"English",2,80,"Seattle, USA","Fantagraphics","6.7 x 0.3 x 10.2 inches","2001-04-01",6.7,0.3,10.2,"inches"
62,"SC",NA,"Hawkeye, Vol. 1: My Life as a Weapon","Superhero","Graphic Novel",0,101,"N/A","Matt","Fraction",1,"USA","White","1975-12-01",37,NA,NA,NA,1,NA,NA,NA,NA,"English",1,136,"New York, USA","Marvel","6.5 x 0.2 x 10.2 inches","2013-03-19",6.5,0.2,10.2,"inches"
63,"HC","Library edition","Hellboy Library Edition, Volume 1: Seed of Destruction and Wake the Devil","Horror","Graphic Fantasy",0,14,"N/A","Mike","Mignola",1,"USA","White","1960-09-16",47,NA,NA,NA,1,NA,NA,NA,NA,"English",2,288,"Milwaukee, USA","Dark Horse","9.3 x 1.2 x 12.1 inches","2008-05-20",9.3,1.2,12.1,"inches"
64,"HC",NA,"Hellboy Library Edition, Volume 2: The Chained Coffin, The Right Hand of Doom, and Others","Superhero","Graphic Novel",0,14,"N/A","Mike","Mignola",1,"USA","White","1960-09-16",48,NA,NA,NA,1,NA,NA,NA,NA,"English",1,281,"Milwaukee, USA","Dark Horse","9.2 x 1.3 x 12.1 inches","2008-10-21",9.2,1.3,12.1,"inches"
65,"SC","Reissue edition","Hicksville","Mystery","Graphic Fantasy",0,53,"N/A","Dylan","Horrocks",1,"New Zealand","White","1966-01-01",48,NA,NA,NA,1,NA,NA,NA,NA,"English",1,238,"Montreal, Canada","Drawn and Quarterly","6.4 x 0.8 x 9.6 inches","2014-07-01",6.4,0.8,9.6,"inches"
66,"HC",NA,"How to Understand Israel in 60 Days or Less","Memoir","Graphic Memoir",1,123,"N/A","Sarah","Glidden",0,"USA","White","1980-06-16",30,NA,NA,NA,0,NA,NA,NA,NA,"English",1,208,"New York, USA","Vertigo",NA,"2010-11-09",6,0.4,9,"inches"
67,"HC",NA,"I Never Liked You","Memoir","Graphic Memoir",1,41,"N/A","Chester","Brown",1,"Canada","White","1960-05-16",33,NA,NA,NA,1,NA,NA,NA,NA,"English",1,187,"Montreal, Canada","Drawn and Quarterly","01.01.94","1994-01-01",0,0,0,NA
68,"SC",NA,"Icon. Vol.1: A Hero's Welcome","Superhero","Graphic Novel",0,52,"N/A","Dwayne","McDuffle",1,"Unknown","African American","1962-02-20",47,NA,NA,NA,1,NA,NA,NA,NA,"English",1,191,"New York, USA","DC Comics","6.6 x 0.4 x 10.2 inches","2009-10-06",6.6,0.4,10.2,"inches"
69,"HC",NA,"The Infinity Gauntlet","Science Fiction","Graphic Fantasy",1,78,"N/A","Jim","Starlin",1,"USA","White","1949-10-09",60,NA,NA,NA,1,NA,NA,NA,NA,"English",2,256,"New York City","Marvel","7 x 0.8 x 10.5 inches","2010-07-28",7,0.8,10.5,"inches"
70,"HC",NA,"It's A Bird","Memoir","Graphic Memoir",1,129,"N/A","Steven T.","Seagle",1,"USA","White","0",NA,NA,NA,NA,1,NA,NA,NA,NA,"English",1,134,"New York, USA","Vertigo","7 x 0.5 x 10.5 inches","2004-05-01",7,0.5,10.5,"inches"
71,"HC","2nd edition","It's a Good Life, If You Don't Weaken","Memoir","Graphic Memoir",1,125,"N/A","Gregory","Gallant",1,"Unknown","White","1962-09-16",37,NA,NA,NA,1,NA,NA,NA,NA,"English",3,176,"Montreal, Canada","Drawn and Quarterly","9 x 6.7 x 0.8 inches","2000-08-01",6.7,0.8,9,"inches"
73,"HC","First Edition edition","Jimmy Corrigan: The Smartest Kid on Earth","Literary Fiction","Graphic Novel",1,42,"N/A","Chris","Ware",1,"USA","White","1967-12-28",32,NA,NA,NA,1,NA,NA,NA,NA,"English",4,380,"New York City","Pantheon","6.8 x 1.6 x 8.4 inches","2000-09-12",8.4,1.6,6.8,"inches"
76,"HC",NA,"Need More Love: A Graphic Memoir","Memoir","Graphic Memoir",0,264,"N/A","Aline","Kominsky-Crumb",0,"USA","White","1948-08-01",58,NA,NA,NA,0,NA,NA,NA,NA,"Spanish",1,285,"London, UK","M Q Publications","6.7 x 0.6 x 9.4 inches","2007-02-01",7.1,1.7,9.7,"inches"
77,"SC","Original Edition","Logicomix: An Epic Search for Truth","Educational","Non-Fiction",0,31,"32","Apostolos","Doxiadis",1,"Australia","White","1953-06-06",56,"Christos","Papadimitriou",1,1,"Greece","White","1949-08-16",60,"English",1,352,"New York, USA","Bloomsbury USA","5.1 x 0.9 x 9.3 inches","2009-09-29",5.1,0.9,9.3,"inches"
79,"HC",NA,"Lost Girls","Adult","Miscellaneous",0,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",55,NA,NA,NA,1,NA,NA,NA,NA,"English",1,320,"Marietta, Georgia, USA","Top Shelf Productions","9 x 2 x 12 inches","2009-07-28",9,2,12,"inches"
81,"SC","1st edition","Mail Order Bride","Literary Fiction","Graphic Novel",0,99,"N/A","Mark","Kalesniko",1,"Canada","White","0",NA,NA,NA,NA,1,NA,NA,NA,NA,"English",1,261,"Seattle, USA","Fantagraphics","7.6 x 0.9 x 11 inches","2003-06-17",7.6,0.9,11,"inches"
82,"SC",NA,"Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir","Memoir","Graphic Memoir",0,56,"N/A","Ellen","Forney",0,"USA","White","1968-03-08",44,NA,NA,NA,0,NA,NA,NA,NA,"English",1,237,"New York, USA","Penguin Group","5.9 x 0.8 x 9 inches","2012-11-06",5.9,0.8,9,"inches"
83,"SC","First Edition","March: Book One","Biography","Non-Fiction",0,81,"165","John","Lewis",1,"USA","African American","1940-02-21",73,"Andrew","Aydin",1,1,"USA","White","1983-08-25",29,"English",2,121,"Marietta, Georgia, USA","Top Shelf Productions","0.5 x 6.5 x 9.2 inches","2013-08-13",6.5,0.5,9.2,"inches"
84,"SC",NA,"March: Book Two","Biography","Non-Fiction",0,81,"165","John","Lewis",1,"USA","African American","1940-02-21",74,"Andrew","Aydin",1,1,"USA","White","1983-08-25",31,"English",1,179,"Marietta, Georgia, USA","Top Shelf Productions","0.5 x 6.5 x 9.5 inches","2015-01-20",6.5,0.5,9.5,"inches"
85,"SC",NA,"Miracleman: The Golden Age","Superhero","Graphic Novel",0,108,"N/A","Neil","Gaiman",1,"UK","White","1960-11-10",31,NA,NA,NA,1,NA,NA,NA,NA,"English",1,160,"London, UK","Eclipse Books","10.1 x 6.5 x 0.3 inches","1992-01-01",6.5,0.3,10.1,"inches"
86,"HC",NA,"Mom's Cancer","Biography","Non-Fiction",0,37,"N/A","Brian","Fies",1,"Unknown","Unknown","0",NA,NA,NA,NA,1,NA,NA,NA,NA,"English",1,112,"New York, USA","Harry N. Abrams","7.6 x 0.6 x 5.5 inches","2009-01-01",7.6,0.6,5.5,"inches"
87,"SC","2nd edition","Mother, Come Home","Literary Fiction","Graphic Novel",1,116,"N/A","Paul","Hornschemeier",1,"USA","White","1977-10-27",26,NA,NA,NA,1,NA,NA,NA,NA,"English",1,128,"Seattle, USA","Fantagraphics","9.2 x 6.9 x 0.4 inches","2004-02-03",9.2,0.4,6.9,"inches"
88,"SC","1 edition","Narcissa","Coming of Age","Graphic Novel",0,87,"N/A","Lance","Tooks",1,"USA","African American","0",NA,NA,NA,NA,1,NA,NA,NA,NA,"English",1,208,"New York, USA","Doubleday","8 x 0.6 x 10.9 inches","2002-09-17",10.9,0.6,8,"inches"
89,"SC",NA,"Nat Turner","Biography","Non-Fiction",1,86,"N/A","Kyle","Baker",1,"USA","African American","1965-01-01",43,NA,NA,NA,1,NA,NA,NA,NA,"English",1,200,"New York, USA","Harry N. Abrams","6 x 0.9 x 9 inches","2008-06-01",6,0.9,9,"inches"
91,"HC",NA,"One Hundred Demons","Memoir","Graphic Memoir",1,95,"N/A","Lynda","Barry",0,"USA","Other Race","1956-01-02",46,NA,NA,NA,0,NA,NA,NA,NA,"English",2,224,"Seattle, USA","Sasquatch Books","6.3 x 9.7 x 0.9 inches","2002-08-13",9.7,0.9,6.3,"inches"
94,"SC",NA,"Our Cancer Year","Memoir","Graphic Memoir",0,11,"71","Harvey","Pekar",1,"USA","White","1939-10-08",55,"Joyce","Brabner",0,0,"USA","White","1952-03-01",42,"English",2,252,"New York, USA","Four Walls Eight Windows","10 x 8 x 0.4 inches","1994-10-13",8,0.4,10,"inches"
95,"SC","1st edition","Palestine","Graphic Journalism","Non-Fiction",0,80,"N/A","Joe","Sacco",1,"Malta","White","1960-10-02",41,NA,NA,NA,1,NA,NA,NA,NA,"English",2,285,"Seattle, USA","Fantagraphics","7.2 x 0.9 x 10.8 inches","2001-12-17",7.2,0.9,10.8,"inches"
96,"HC","1st edition","Palomar: The Heartbreak Soup Stories, A Love and Rockets Book","Literary Fiction","Graphic Novel",0,69,"N/A","Gilbert","Hernandez",1,"USA","Other Race","1957-02-01",46,NA,NA,NA,1,NA,NA,NA,NA,"English",1,512,"Seattle, USA","Fantagraphics","0.9 x 0.2 x 1.1 inches","2003-11-17",7.5,0.7,9,"inches"
97,"SC","First Edition","Paul Has a Summer Job","Coming of Age","Graphic Novel",0,104,"N/A","Michel","Rabagliati",1,"Canada","White","1961-01-01",41,NA,NA,NA,1,NA,NA,NA,NA,"English",1,145,"Montreal, Canada","Drawn and Quarterly","7.6 x 0.6 x 9.9 inches","2002-08-01",7.6,0.6,9.9,"inches"
98,"SC","Reprint edition","Paul Joins the Scouts","Coming of Age","Graphic Novel",0,104,"N/A","Michel","Rabagliati",1,"Canada","White","1961-01-01",52,NA,NA,NA,1,NA,NA,NA,NA,"English",1,143,"Montreal, Canada","Conundrum Press","0.5 x 7.2 x 9.5 inches","2013-05-23",7.2,0.5,9.5,"inches"
99,"SC",NA,"Pedro and Me: Friendship, Loss, and What I Learned","Memoir","Graphic Memoir",0,82,"N/A","Judd","Winick",1,"USA","White","1970-02-12",39,NA,NA,NA,1,NA,NA,NA,NA,"English",1,180,"New York, USA","Henry Holt and Company, LLC","6.4 x 0.5 x 9.1 inches","2009-03-31",6.4,0.5,9.1,"inches"
102,"HC","1St Edition","RASL","Science Fiction","Graphic Fantasy",0,76,"N/A","Jeff","Smith",1,"USA","White","1960-02-27",53,NA,NA,NA,1,NA,NA,NA,NA,"English",1,468,"Columbus, USA","Cartoon Books","1.5 x 8 x 10.2 inches","2013-09-17",8,1.5,10.2,"inches"
103,"HC",NA,"Red: A Haida Manga","Action/Adventure","Graphic Novel",1,103,"N/A","Michael Nicoll","Yahgulanaas",1,"Canada","Native American","1954-01-01",56,NA,NA,NA,1,NA,NA,NA,NA,"English",1,120,"Vancouver, Canada","Douglas and McIntyre","9 x 8.4 x 0.6 inches","2010-02-23",9,0.6,8.4,"inches"
105,"HC",NA,"Richard Stark's Parker: Slayground","Crime","Graphic Novel",0,308,"308","Donald Edwin","Westlake (Richard Stark)",1,"USA","White","1933-07-12",80,"Donald Edwin","Westlake (Richard Stark)",1,1,"USA","White","1933-07-12",80,"English",1,96,"San Diego, USA","IDW Publishing","13.7 x 9.4 x 1.7 inches","2013-12-26",6.8,0.8,9.5,"inches"
106,"SC",NA,"Safe Area Gorau017ede: The War in Eastern Bosnia, 1992-1995","Graphic Journalism","Non-Fiction",1,80,"N/A","Joe","Sacco",1,"Malta","White","1960-10-02",41,NA,NA,NA,1,NA,NA,NA,NA,"English",2,227,"Seattle, USA","Fantagraphics","7.6 x 0.6 x 10 inches","2002-01-17",7.6,0.6,10,"inches"
107,"HC",NA,"Saga of the Swamp Thing, Book 1","Superhero","Graphic Novel",1,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",55,NA,NA,NA,1,NA,NA,NA,NA,"English",1,208,"New York, USA","Vertigo","7.1 x 0.7 x 10.5 inches","2009-02-17",7.1,0.7,10.5,"inches"
108,"HC",NA,"Same Difference","Literary Fiction","Graphic Novel",0,50,"N/A","Derek Kirk","Kim",1,"South Korea","Asian","1974-01-01",37,NA,NA,NA,1,NA,NA,NA,NA,"English",1,80,"New York, USA","First Second","6.4 x 0.6 x 8.7 inches","2011-12-06",6.4,0.6,8.7,"inches"
